id,title,url,upload_date,view_count,duration_min
-51niqvmHBg,"[New Fact] Rakuten Mobile's ""Dual Line Operation"" is the best! 6GB and unlimited calls for 0 yen ...",https://www.youtube.com/watch?v=-51niqvmHBg,,145668,16.2
k9tORJkQwkI,[Free for Life] Convert Rakuten Mobile to a Fixed Line (Demonstration of Application Method / Sma...,https://www.youtube.com/watch?v=k9tORJkQwkI,,61252,21.6
99b5xTofsUM,[99% of people don't know] Rakuten Mobile's Top 4 Operational Tips,https://www.youtube.com/watch?v=99b5xTofsUM,,43038,29.5
vWe8klgvb_Y,"[New Common Sense] No fiber optic connection required with Rakuten Mobile. Tethering, pocket Wi-F...",https://www.youtube.com/watch?v=vWe8klgvb_Y,,40762,26.4
Ar2HEsoZzxA,【光回線は毎年8.4万円のムダ】楽天モバイル固定回線化で10.9万円トク｜完全ロードマップ,https://www.youtube.com/watch?v=Ar2HEsoZzxA,,37843,32.8
r6xrVXBfNzw,[Warning] How to buy the latest smartphone at Rakuten Mobile for less than 1 yen,https://www.youtube.com/watch?v=r6xrVXBfNzw,,31571,16.2
Xymiy5mv61s,【通話料0円】楽天モバイルの楽天リンク完全解説！音質・注意点・対策法までコレ一本で完結！,https://www.youtube.com/watch?v=Xymiy5mv61s,,31241,20.2
92NrwiO6RQA,"[2026 Update] Switching to Rakuten Mobile Will Be a Big Loser | Complete Steps to Get Up to ¥70,0...",https://www.youtube.com/watch?v=92NrwiO6RQA,,31214,32.9
56O2A8sjXp8,[This is the best] Rakuten Mobile x Dual SIM! Complete guide to trying it out for free!,https://www.youtube.com/watch?v=56O2A8sjXp8,,29284,14.3
fgh1mJsR_q0,[Danger] 5 Things You Should Never Do When Using Rakuten Mobile + 2 Tips to Save Money,https://www.youtube.com/watch?v=fgh1mJsR_q0,,28844,24.7
-mFlIpFNUxM,【最強】楽天モバイル、ポケットWi-Fiをレビュー&1番お得な申込手順も解説【Rakuten WiFi Pocket Platinum】,https://www.youtube.com/watch?v=-mFlIpFNUxM,,26504,22.4
